"","codenumber","total_cs","age_group","l1","l2","l3","l1_overall","l2_overall","l3_overall","person_1","person_1_l1","person_1_l2","person_1_l3","person_1_nat1","person_1_nat2","person_1_nat3","person_1_fluency1","person_1_fluency2","person_1_fluency3","person_2","person_2_l1","person_2_l2","person_2_l3","person_2_nat1","person_2_nat2","person_2_nat3","person_2_fluency1","person_2_fluency2","person_2_fluency3","par1_nat_chi_l1","par2_nat_chi_l1","parent_nat_chi_l1","par1_nat_chi_l2","par2_nat_chi_l2","parent_nat_chi_l2","par1_nat_chi_l3","par2_nat_chi_l3","parent_nat_chi_l3","par1_flu_chi_l1","par2_flu_chi_l1","parent_flu_chi_l1","par1_flu_chi_l2","par2_flu_chi_l2","parent_flu_chi_l2","par1_flu_chi_l3","par2_flu_chi_l3","parent_flu_chi_l3"
"74",8556,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","HINDI","TELEGU",1,0,0,4,2,1,"FATHER","ENGLISH","SPANISH","HINDI",1,1,0,4,2,0,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"75",8566,1,36,"ENGLISH","URDU","NO L3",0.965,0.035,0,"MOTHER","ENGLISH","PORTUGUESE","SPANISH",1,0,0,4,1,1,"FATHER","ENGLISH","GERMAN","MANDARIN",1,0,0,4,2,2,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"76",8571,7,36,"ENGLISH","RUSSIAN","RUSSIAN",0.99,0.005,0.005,"MOTHER","ENGLISH","RUSSIAN",NA,1,1,NA,4,4,NA,"FATHER","ENGLISH","HUNGARIAN",NA,1,0,NA,4,2,NA,1,1,1,1,0,1,1,0,1,4,4,8,4,NA,4,4,NA,4
"77",8572,9,36,"MANDARIN","ENGLISH","SHANGHAINESE",0.785,0.145,0.07,"MOTHER","MANDARIN","SHANGHAINESE","ENGLISH",1,1,0,4,4,4,"FATHER","MANDARIN","ENGLISH",NA,1,1,NA,4,4,NA,1,1,1,0,1,1,1,0,1,4,4,8,4,4,8,4,NA,4
"78",8580,0,36,"SPANISH","MANDARIN","TURKISH",0.386,0.277,0.188,"MOTHER","TURKISH","ENGLISH","ITALIAN",1,0,0,4,4,3,"FATHER","TURKISH","ENGLISH",NA,1,0,NA,4,4,NA,0,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,4,4,8
"79",8581,0,36,"SPANISH","MANDARIN","TURKISH",0.386,0.277,0.188,"MOTHER","ENGLISH","ENGLISH","ITALIAN",1,0,0,4,4,3,"FATHER","TURKISH","ENGLISH",NA,1,0,NA,4,4,NA,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,4,4
"80",8590,0,36,"ENGLISH","HEBREW","NO L3",0.99,0.01,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,"FATHER","ENGLISH","FRENCH",NA,1,1,NA,4,2,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"81",8594,4,36,"ENGLISH","SPANISH","NO L3",0.69,0.31,0,"MOTHER","ENGLISH","SPANISH","FRENCH",1,0,0,4,NA,4,"FATHER","SPANISH","ENGLISH","ITALIAN",1,0,0,4,4,4,1,0,1,0,1,1,0,0,999,4,4,8,NA,4,4,NA,NA,999
"82",8605,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH","FRENCH",NA,1,0,NA,4,2,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"83",8619,15,36,"ENGLISH","FARSI","NO L3",0.545,0.455,0,"MOTHER","FARSI","ENGLISH","SPANISH",1,1,0,4,4,1,"FATHER","FARSI","ENGLISH","PASHTO",1,1,0,4,4,1,1,1,1,1,1,1,0,0,999,4,4,8,4,4,8,NA,NA,999
"84",8652,NA,36,"SPANISH","ENGLISH","NO L3",0.596,0.404,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,4,NA,"FATHER","SPANISH","ENGLISH",NA,1,1,NA,4,4,NA,0,1,1,1,1,1,0,0,999,4,4,8,4,4,8,NA,NA,999
"85",8670,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"86",8672,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"87",8678,1,36,"ENGLISH","GA","SPANISH",0.895,0.04,0.025,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","RUSSIAN","FRENCH",1,0,0,4,4,2,1,1,1,0,0,0,0,0,0,4,4,8,NA,NA,NA,NA,NA,NA
"88",8685,16,36,"ENGLISH","SPANISH","FRENCH",0.942,0.029,0.019,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,1,1,1,0,0,0,0,0,0,4,4,8,2,1,3,NA,NA,NA
"89",8696,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","GERMAN",NA,1,0,NA,4,1,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"90",8699,14,36,"SPANISH","FRENCH","ENGLISH",0.51,0.436,0.054,"MOTHER","FRENCH","SPANISH","ENGLISH",1,0,0,4,4,4,"FATHER","SPANISH","ENGLISH",NA,1,0,NA,4,4,NA,0,1,1,1,0,1,0,0,0,4,4,8,4,NA,4,4,4,8
"91",8702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",8709,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","GERMAN",NA,1,0,NA,4,3,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"93",8712,6,36,"SPANISH","ENGLISH","NO L3",0.615,0.385,0,"MOTHER","ENGLISH","SPANISH","FRENCH",1,0,0,4,NA,NA,"FATHER","SPANISH","ENGLISH","GERMAN",1,0,0,4,NA,NA,0,1,1,1,0,1,0,0,999,NA,4,4,4,NA,4,NA,NA,999
"94",8713,0,36,"ENGLISH","NO L2","NO L3",0.645,0.149,0.149,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","GERMAN","ENGLISH",NA,1,1,NA,4,4,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"95",8718,3,36,"RUSSIAN","SPANISH","ENGLISH",0.647,0.279,0.075,"MOTHER","RUSSIAN","ENGLISH","GERMAN",1,1,0,4,4,3,"FATHER","ENGLISH","RUSSIAN","GERMAN",1,0,0,4,4,4,1,0,1,0,0,0,1,1,1,4,4,8,NA,NA,NA,4,4,8
"96",8720,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","SPANISH","FRENCH",1,0,0,4,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,999,1,0,999,999,0,999,999,4,NA,4,NA,NA,999,NA,NA,999
"97",8722,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","SPANISH","HEBREW",1,0,0,4,2,3,"FATHER","ENGLISH","SPANISH","HEBREW",1,0,0,4,1,2,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"98",8732,0,36,"ENGLISH","SPANISH","NO L3",0.99,0.01,0,"MOTHER","ENGLISH","LATIN",NA,1,0,NA,4,0,NA,"FATHER","ENGLISH","FRENCH",NA,1,0,NA,4,1,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"99",8733,15,36,"ENGLISH","SPANISH","NO L3",0.589,0.411,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,3,NA,"FATHER","SPANISH","ENGLISH",NA,1,0,NA,4,4,NA,1,0,1,0,1,1,0,0,999,4,4,8,3,4,7,NA,NA,999
"100",8742,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,3,1,NA,1,1,1,0,0,999,0,0,999,4,3,7,NA,NA,999,NA,NA,999
"101",8754,0,36,"ENGLISH","SPANISH","NO L3",0.98,0.02,0,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,NA,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"102",8757,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","SPANISH","GERMAN",1,0,0,4,2,1,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"103",8759,0,36,"ENGLISH","SPANISH","NO L3",0.975,0.025,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,1,1,1,0,0,0,0,0,999,4,4,8,1,1,2,NA,NA,999
"104",8760,0,36,"ENGLISH","MANDARIN","NO L3",0.987,0.013,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","MANDARIN","ENGLISH",NA,1,1,NA,4,4,NA,1,1,1,0,1,1,0,0,999,4,4,8,NA,4,4,NA,NA,999
"105",8763,5,36,"ENGLISH","SPANISH","NO L3",0.856,0.144,0,"MOTHER","SPANISH","ENGLISH",NA,1,1,NA,4,4,NA,"FATHER","SPANISH","ENGLISH",NA,1,1,NA,4,4,NA,1,1,1,1,1,1,0,0,999,4,4,8,4,4,8,NA,NA,999
"106",8764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",8765,8,36,"ENGLISH","POLISH","NO L3",0.845,0.155,0,"MOTHER","ENGLISH","POLISH",NA,1,0,NA,4,2,NA,"FATHER","POLISH","ENGLISH",NA,1,0,NA,4,4,NA,1,0,1,0,1,1,0,0,999,4,4,8,2,4,6,NA,NA,999
"108",8766,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,2,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"109",8814,0,36,"ENGLISH","SPANISH","NO L3",0.87,0.13,0,"MOTHER","ENGLISH","GERMAN",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","SPANISH","GERMAN",1,0,0,4,2,4,1,1,1,0,0,0,0,0,999,4,4,8,NA,2,2,NA,NA,999
"110",8819,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","GERMAN",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","ITALIAN",NA,1,0,NA,4,1,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"111",8834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",8969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",8973,NA,36,"ENGLISH","CANTONESE","NO L3",0.783,0.217,0,"MOTHER","CANTONESE","ENGLISH","SPANISH",1,1,0,4,4,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,999,1,1,999,1,0,999,999,4,NA,4,4,NA,4,NA,NA,999
"114",8981,16,36,"ENGLISH","KOREAN","TAGALOG",0.955,0.035,0.01,"MOTHER","KOREAN","ENGLISH","FRENCH",1,1,0,4,4,2,"FATHER","ENGLISH","SPANISH","KOREAN",1,0,0,4,2,0,1,1,1,1,0,1,0,0,0,4,4,8,4,0,4,NA,NA,NA
"115",9046,9,36,"SLOVAK","FRENCH","ENGLISH",0.435,0.377,0.188,"MOTHER","FRENCH","ENGLISH","ARABIC",1,1,0,4,4,1,"FATHER","SLOVAK","ENGLISH",NA,1,1,NA,4,4,NA,0,1,1,1,0,1,1,1,1,NA,4,4,4,NA,4,4,4,8
"116",9069,12,36,"ENGLISH","SPANISH","NO L3",0.84,0.16,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,"FATHER","SPANISH","ENGLISH",NA,1,1,NA,4,4,NA,1,1,1,0,1,1,0,0,999,4,4,8,2,4,6,NA,NA,999
"117",9029,0,36,"ENGLISH","SPANISH","NO L3",0.901,0.079,0.01,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"118",8517,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"119",8998,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",8769,14,36,"ENGLISH","VIETNAMESE","NO L3",0.955,0.045,0,"MOTHER","ENGLISH","VIETNAMESE",NA,1,1,NA,4,4,NA,"FATHER","ENGLISH","VIETNAMESE",NA,1,0,NA,4,3,NA,1,1,1,1,0,1,0,0,999,4,4,8,4,3,7,NA,NA,999
"121",9169,NA,36,"ENGLISH","SPANISH","HEBREW",0.832,0.149,0.019,"MOTHER","ENGLISH","HEBREW",NA,1,1,NA,4,4,NA,"FATHER","ENGLISH","HEBREW",NA,1,1,NA,4,2,NA,1,1,1,0,0,0,1,1,1,4,4,8,NA,NA,NA,4,2,6
"122",9163,0,36,"ENGLISH","SPANISH","NO L3",0.785,0.215,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"123",9095,14,36,"KOREAN","ENGLISH","NO L3",0.755,0.245,0,"MOTHER","ENGLISH","KOREAN","MANDARIN",1,1,0,4,4,1,"FATHER","KOREAN","ENGLISH","MANDARIN",1,0,0,4,4,1,1,1,1,1,0,1,0,0,999,4,4,8,4,4,8,NA,NA,999
"124",8725,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,3,NA,"FATHER","ENGLISH","FRENCH",NA,1,0,NA,4,2,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"125",9116,3,36,"ENGLISH","SPANISH","NO L3",0.975,0.01,0.005,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,3,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,3,NA,3,NA,NA,999
"126",8767,11,36,"ENGLISH","SPANISH","NO L3",0.695,0.305,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"127",8866,0,36,"ENGLISH","SPANISH","NO L3",0.885,0.115,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,3,NA,1,1,1,0,0,0,0,0,999,4,4,8,1,3,4,NA,NA,999
"128",8890,0,36,"ENGLISH","SPANISH","NO L3",0.82,0.18,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"129",8552,4,36,"ENGLISH","SPANISH","NO L3",0.965,0.035,0,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,3,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"130",9080,3,36,"ENGLISH","SPANISH","NO L3",0.976,0.024,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH","SPANISH","GERMAN",1,0,0,4,2,4,1,1,1,0,0,0,0,0,999,4,4,8,NA,2,2,NA,NA,999
"131",9162,0,36,"ENGLISH","SPANISH","NO L3",0.957,0.043,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"132",8744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",8987,0,36,"ENGLISH","JAPANESE","GERMAN",0.392,0.332,0.276,"FATHER","GERMAN","ENGLISH",NA,1,0,NA,4,4,NA,"MOTHER","JAPANESE","ENGLISH",NA,1,0,NA,4,4,NA,0,0,0,0,1,1,1,0,1,4,4,8,NA,4,4,4,NA,4
"134",8987,0,36,"ENGLISH","JAPANESE","GERMAN",0.37,0.365,0.265,"FATHER","GERMAN","ENGLISH",NA,1,0,NA,4,4,NA,"MOTHER","JAPANESE","ENGLISH",NA,1,0,NA,4,4,NA,0,0,0,0,1,1,1,0,1,4,4,8,NA,4,4,4,NA,4
"135",9128,23,36,"SPANISH","ENGLISH","NO L3",0.498,0.409,0.023,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,3,NA,"FATHER","SPANISH","ENGLISH",NA,1,0,NA,4,4,NA,0,1,1,1,0,1,0,0,999,3,4,7,4,4,8,NA,NA,999
"136",9056,NA,36,"ENGLISH","BULGARIAN","SPANISH",0.59,0.3,0.11,"MOTHER","BULGARIAN","ENGLISH",NA,1,0,NA,4,4,NA,"FATHER","ENGLISH","SPANISH",NA,1,1,NA,4,3,NA,0,1,1,1,0,1,0,1,1,4,4,8,4,NA,4,NA,3,3
"137",8736,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",8748,0,36,"ENGLISH","SPANISH","NO L3",0.904,0.096,0,"MOTHER","ENGLISH","GERMAN",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","GERMAN",NA,1,0,NA,4,1,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"139",8751,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"140",8908,4,36,"ENGLISH","AFRIKAANS","NO L3",0.645,0.355,0,"MOTHER","ENGLISH","AFRIKAANS",NA,1,0,NA,4,2,NA,"FATHER","AFRIKAANS","ENGLISH","GERMAN",1,1,0,4,4,1,1,1,1,0,1,1,0,0,999,4,4,8,2,4,6,NA,NA,999
"141",8971,6,36,"ENGLISH","FRENCH","NO L3",0.985,0.015,0,"MOTHER","ENGLISH","FRENCH","SPANISH",1,0,0,4,3,1,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,1,1,1,0,0,0,0,0,999,4,4,8,3,NA,3,NA,NA,999
"142",9034,3,36,"FRENCH","ENGLISH","SPANISH",0.524,0.468,0.009,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,3,NA,"FATHER","FRENCH","ENGLISH","SPANISH",1,1,0,4,4,2,0,1,1,1,1,1,0,0,0,3,4,7,4,4,8,NA,2,2
"143",9045,10,36,"FRENCH","ENGLISH","NO L3",0.525,0.475,0,"MOTHER","FRENCH","ENGLISH",NA,1,0,NA,4,4,NA,"FATHER","ENGLISH","FRENCH",NA,1,0,NA,4,1,NA,1,0,1,0,1,1,0,0,999,4,1,5,4,4,8,NA,NA,999
"144",9045,12,36,"FRENCH","ENGLISH","NO L3",0.525,0.475,0,"MOTHER","FRENCH","ENGLISH",NA,1,0,NA,4,4,NA,"FATHER","ENGLISH","FRENCH",NA,1,0,NA,4,1,NA,1,0,1,0,1,1,0,0,999,4,1,5,4,4,8,NA,NA,999
"145",8735,7,36,"ENGLISH","SPANISH","NO L3",0.88,0.12,0,"MOTHER","ENGLISH","FRENCH","SPANISH",1,0,0,4,2,0,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,1,1,1,0,0,0,0,0,999,4,4,8,0,1,1,NA,NA,999
"146",8745,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"147",8795,0,36,"ENGLISH","SPANISH","NO L3",0.98,0.02,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"148",8805,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"149",8921,13,36,"ENGLISH","SPANISH","INDONESIAN",0.881,0.07,0.05,"MOTHER","ENGLISH","INDONESIAN",NA,1,0,NA,4,3,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,0,4,4,8,NA,NA,NA,3,NA,3
"150",8985,13,36,"KOREAN","ENGLISH","NO L3",0.532,0.468,0,"MOTHER","KOREAN","ENGLISH",NA,1,0,NA,4,4,NA,"FATHER","ENGLISH","KOREAN",NA,1,0,NA,4,1,NA,1,0,1,0,1,1,0,0,999,4,1,5,4,4,8,NA,NA,999
"151",8989,7,36,"PORTUGUESE","ENGLISH","GERMAN",0.635,0.36,0.005,"MOTHER","PORTUGUESE","ENGLISH",NA,1,1,NA,4,4,NA,"FATHER","ENGLISH","GERMAN",NA,1,1,NA,4,3,NA,1,0,1,1,1,1,0,1,1,4,NA,4,4,4,8,NA,3,3
"152",9052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
